place,type,country,region,latitude,longitude,observation_time,temperature,weather_code,weather_desc,wind_speed,wind_degree,wind_direction,pressure,precipitation,humidity,cloud_cover,feels_like,uv_index,visibility,iso3
Abidjan,City,Cote d'Ivoire,Lagunes,5.341,-4.028,2022-03-28,27.0,116.0,Partly cloudy,6.0,280.0,W,1010.0,0.0,100.0,25.0,31.0,1.0,10.0,CIV
Abidjan,City,Cote d'Ivoire,Lagunes,5.341,-4.028,2022-03-29,29.0,116.0,Partly cloudy,15.0,210.0,SSW,1010.0,0.0,84.0,25.0,36.0,7.0,10.0,CIV
Abidjan,City,Cote d'Ivoire,Lagunes,5.341,-4.028,2022-03-30,29.0,116.0,Partly cloudy,13.0,210.0,SSW,1007.0,0.0,84.0,25.0,36.0,7.0,9.0,CIV
Abidjan,City,Cote d'Ivoire,Lagunes,5.341,-4.028,2022-03-31,30.0,116.0,Partly cloudy,15.0,210.0,SSW,1009.0,0.0,79.0,50.0,38.0,6.0,10.0,CIV
Abidjan,City,Cote d'Ivoire,Lagunes,5.341,-4.028,2022-04-01,31.0,116.0,Partly cloudy,19.0,230.0,SW,1011.0,0.1,79.0,25.0,39.0,6.0,10.0,CIV
Abu Dhabi,City,United Arab Emirates,Abu Dhabi,24.467,54.367,2022-03-28,21.0,143.0,Haze,24.0,310.0,NW,1018.0,0.0,69.0,0.0,21.0,1.0,9.0,ARE
Abu Dhabi,City,United Arab Emirates,Abu Dhabi,24.467,54.367,2022-03-29,26.0,113.0,Sunny,30.0,320.0,NW,1017.0,0.0,48.0,0.0,26.0,7.0,10.0,ARE
Abu Dhabi,City,United Arab Emirates,Abu Dhabi,24.467,54.367,2022-03-30,24.0,113.0,Sunny,15.0,320.0,NW,1015.0,0.0,61.0,0.0,25.0,7.0,10.0,ARE
Abu Dhabi,City,United Arab Emirates,Abu Dhabi,24.467,54.367,2022-03-31,30.0,113.0,Sunny,0.0,311.0,NW,1014.0,0.0,29.0,0.0,30.0,8.0,10.0,ARE
Abu Dhabi,City,United Arab Emirates,Abu Dhabi,24.467,54.367,2022-04-01,33.0,143.0,Haze,24.0,310.0,NW,1012.0,0.0,22.0,0.0,33.0,8.0,9.0,ARE
Abuja,City,Nigeria,Federal Capital Territory,9.176,7.181,2022-03-28,26.0,143.0,Haze,11.0,70.0,ENE,1011.0,0.0,26.0,0.0,24.0,1.0,7.0,NGA
Abuja,City,Nigeria,Federal Capital Territory,9.176,7.181,2022-03-29,30.0,143.0,Haze,6.0,100.0,E,1013.0,0.0,24.0,50.0,28.0,7.0,2.0,NGA
